case_id,crime_type,transaction_type,transaction_amount,transaction_hour,transaction_day,victim_latitude,victim_longitude,previous_transaction_count,previous_transaction_amount,time_since_previous_transaction,suspicious_activity_score,victim_area_risk_score,timestamp
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,17.47854,78.4448,1,8571.67,73.1,0.395,0.547,2026-08-01 08:00:00
CASE_10002,UPI Fraud,Other,2236.76,23,5,17.41535,78.3708,1,23148.89,146.4,0.371,0.483,2026-08-02 23:07:00
CASE_10003,Account Takeover,UPI,108721.03,17,1,17.33276,78.49948,2,50174.05,29.9,0.49,0.732,2026-08-03 17:14:00
CASE_10004,UPI Fraud,UPI,2000.0,13,6,17.475,78.46981,1,27761.78,31.2,0.423,0.737,2026-08-04 13:21:00
CASE_10005,UPI Fraud,ATM,50890.36,7,5,17.44469,78.51681,2,18336.54,136.5,0.401,0.754,2026-08-05 07:28:00
CASE_10006,Phishing,POS,83505.35,15,1,17.43428,78.36037,2,42571.02,116.2,0.619,0.381,2026-08-06 15:35:00
CASE_10007,UPI Fraud,UPI,46139.8,22,4,17.38161,78.49991,2,43105.6,57.1,0.474,0.461,2026-08-07 22:42:00
CASE_10008,UPI Fraud,UPI,36991.32,22,3,17.42909,78.48142,1,6091.54,20.6,0.428,0.927,2026-08-08 22:49:00
CASE_10009,UPI Fraud,UPI,4233.17,14,2,17.41769,78.4874,2,57776.18,11.1,0.36,0.581,2026-08-09 14:56:00
CASE_10010,Card Fraud,POS,30186.35,13,0,17.35097,78.40603,1,17652.69,25.9,0.429,0.74,2026-08-10 13:03:00
CASE_10011,Phishing,ATM,36328.65,14,0,17.43151,78.47965,1,9848.85,137.1,0.398,0.124,2026-08-11 14:10:00
CASE_10012,Card Fraud,UPI,32312.13,18,3,17.45796,78.37046,4,107958.19,132.7,0.542,0.788,2026-08-12 18:17:00
CASE_10013,UPI Fraud,UPI,57780.06,20,4,17.47181,78.52877,2,43821.32,18.5,0.49,0.748,2026-08-13 20:24:00
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,17.38897,78.44075,1,29160.43,58.9,0.482,0.929,2026-08-14 18:31:00
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,17.40237,78.44639,1,20817.8,83.0,0.678,0.459,2026-08-15 17:38:00
CASE_10016,UPI Fraud,UPI,82146.71,22,1,17.40007,78.44965,0,0.0,36.5,0.685,0.167,2026-08-16 22:45:00
CASE_10017,Phishing,ATM,48845.55,21,1,17.38883,78.45384,1,12669.41,36.1,0.342,0.1,2026-08-17 21:52:00
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,17.42475,78.40046,1,27588.96,14.8,0.334,0.249,2026-08-18 12:59:00
CASE_10019,UPI Fraud,UPI,53741.25,3,1,17.33958,78.43045,0,0.0,90.0,0.557,0.86,2026-08-19 03:06:00
CASE_10020,UPI Fraud,UPI,87567.41,14,3,17.40664,78.50999,0,0.0,17.9,0.679,0.155,2026-08-20 14:13:00
CASE_10021,Card Fraud,UPI,35749.22,8,6,17.41582,78.3835,0,0.0,149.6,0.355,0.83,2026-08-21 08:20:00
CASE_10022,UPI Fraud,UPI,35658.45,20,3,17.38717,78.42865,0,0.0,88.8,0.204,0.427,2026-08-22 20:27:00
CASE_10023,Phishing,UPI,61068.67,21,5,17.39915,78.46273,0,0.0,88.3,0.468,0.374,2026-08-23 21:34:00
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,17.39186,78.43787,1,23803.22,151.6,0.329,0.333,2026-08-24 13:41:00
CASE_10025,Account Takeover,UPI,93675.96,17,0,17.38518,78.50149,2,50508.05,43.7,0.454,0.523,2026-08-25 17:48:00
CASE_10026,Card Fraud,UPI,55187.1,9,1,17.39281,78.39525,1,11416.18,93.7,0.702,0.1,2026-08-26 09:55:00
CASE_10027,UPI Fraud,UPI,48271.85,20,0,17.37676,78.37323,1,7014.52,19.6,0.495,0.441,2026-08-27 20:02:00
CASE_10028,UPI Fraud,POS,48838.72,11,1,17.41641,78.54039,1,7135.08,225.5,0.474,0.762,2026-08-28 11:09:00
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,17.40845,78.43626,3,56826.65,13.4,0.464,0.416,2026-08-01 15:16:00
CASE_10030,UPI Fraud,ATM,85163.68,19,4,17.36961,78.36838,0,0.0,14.5,0.52,0.634,2026-08-02 19:23:00
CASE_10031,Phishing,POS,3000.0,15,6,17.37574,78.51096,2,53480.82,22.6,0.376,0.626,2026-08-03 15:30:00
CASE_10032,UPI Fraud,UPI,76568.56,19,1,17.44946,78.44076,0,0.0,257.1,0.313,0.815,2026-08-04 19:37:00
CASE_10033,UPI Fraud,POS,84816.75,14,0,17.41087,78.45831,3,30977.65,66.2,0.8,0.679,2026-08-05 14:44:00
CASE_10034,UPI Fraud,ATM,37119.93,22,3,17.39928,78.41063,1,7312.92,16.4,0.367,0.347,2026-08-06 22:51:00
