case_id,crime_type,transaction_type,transaction_amount,transaction_hour,transaction_day,is_night,victim_latitude,victim_longitude,candidate_latitude,candidate_longitude,distance_km,proximity_score,candidate_historical_risk,candidate_volume_score,candidate_night_activity,candidate_incident_count,suspicious_activity_score,victim_area_risk_score,withdrawal_occurred
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,0,17.47854,78.4448,17.47084,78.46262,2.0749356369600003,0.6584431900255765,0.872,0.924,0.549,24,0.395,0.547,1
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,0,17.47854,78.4448,17.45151,78.38368,7.145768110085881,0.35888060477235056,0.685,0.656,0.642,28,0.395,0.547,0
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,0,17.47854,78.4448,17.43423,78.42973,5.179874927470697,0.43573578415867453,0.609,0.731,0.342,25,0.395,0.547,0
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,0,17.47854,78.4448,17.42427,78.35543,11.237782941586893,0.26250537990557776,0.82,0.99,0.869,27,0.395,0.547,0
CASE_10001,UPI Fraud,NEFT,61192.21,8,2,0,17.47854,78.4448,17.46179,78.38469,6.642100192888158,0.37586565879854217,0.707,0.763,0.429,21,0.395,0.547,0
CASE_10002,UPI Fraud,Other,2236.76,23,5,1,17.41535,78.3708,17.42427,78.35543,1.9086410208742888,0.6769746183375562,0.82,0.99,0.869,27,0.371,0.483,1
CASE_10002,UPI Fraud,Other,2236.76,23,5,1,17.41535,78.3708,17.37579,78.53535,18.005869407917057,0.18176968725266174,0.889,0.92,0.669,28,0.371,0.483,0
CASE_10002,UPI Fraud,Other,2236.76,23,5,1,17.41535,78.3708,17.35729,78.54128,19.207886270968995,0.17235520517883807,0.891,0.785,0.746,32,0.371,0.483,0
CASE_10002,UPI Fraud,Other,2236.76,23,5,1,17.41535,78.3708,17.42744,78.50562,14.366663963669778,0.21778587597139082,0.644,0.754,0.642,19,0.371,0.483,0
CASE_10002,UPI Fraud,Other,2236.76,23,5,1,17.41535,78.3708,17.45813,78.37688,4.80044805387331,0.4545223124451594,0.669,0.744,0.567,24,0.371,0.483,0
